1,A,1
2,B,2
3,C,3
4,D,1
5,E,3
6,F,2
7,G,3
8,H,1
9,I,1
10,J,3
11,K,3
12,L,1
13,M,2
14,N,2
15,O,3
16,P,2
17,Q,2
18,R,1
19,S,3
20,T,2
21,U,2
22,V,3
23,W,2
24,X,3
25,Y,2
26,Z,1
27,AA,2
28,AB,1
29,AC,2
30,AD,1
31,AE,2
32,AF,1
33,AG,3
34,AH,2
35,AI,2
36,AJ,1
37,AK,3
38,AL,3
39,AM,3
40,AN,3
41,AO,3
42,AP,2
43,AQ,1
44,AR,3
45,AS,1
46,AT,3
47,AU,3
48,AV,1
49,AW,2
50,AX,3
51,AY,1
52,AZ,1
53,BA,2
54,BB,1
55,BC,3
56,BD,1
57,BE,2
58,BF,2
59,BG,3
60,BH,3
61,BI,3
62,BJ,1
63,BK,3
64,BL,2
65,BM,1
66,BN,1
67,BO,2
68,BP,3
69,BQ,1
70,BR,3
71,BS,3
72,BT,3
73,BU,1
74,BV,1
75,BW,2
76,BX,3
77,BY,3
78,BZ,1
79,CA,1
80,CB,1
81,CC,3
82,CD,3
83,CE,3
84,CF,1
85,CG,2
86,CH,1
87,CI,3
88,CJ,3
89,CK,1
90,CL,1
91,CM,3
92,CN,1
93,CO,3
94,CP,1
95,CQ,2
96,CR,2
97,CS,1
98,CT,1
99,CU,3
100,CV,2
101,CW,2
102,CX,3
103,CY,3
104,CZ,1
105,DA,1
106,DB,3
107,DC,3
108,DD,3
109,DE,2
110,DF,3
111,DG,2
112,DH,2
113,DI,2
114,DJ,3
115,DK,3
116,DL,3
117,DM,1
118,DN,1
119,DO,3
120,DP,2
121,DQ,2
122,DR,1
123,DS,1
124,DT,3
125,DU,3
126,DV,2
127,DW,2
128,DX,1
129,DY,1
130,DZ,1
131,EA,2
132,EB,2
133,EC,2
134,ED,1
135,EE,1
136,EF,3
137,EG,2
138,EH,1
139,EI,3
140,EJ,3
141,EK,2
142,EL,1
143,EM,2
144,EN,1
145,EO,2
146,EP,1
147,EQ,2
148,ER,1
149,ES,1
150,ET,2
151,EU,2
152,EV,1
153,EW,3
154,EX,2
155,EY,2
156,EZ,1
157,FA,2
