2,5000,,
4,1,10000,25
-213,-160,,
A,-174,-151,0
B,-319,296,1
C,-313,27,1
D,-62,319,1
E,-124,133,0
F,-263,-279,0
G,-117,199,0
H,338,-190,1
I,-250,-119,1
J,-61,253,0
K,-146,-116,0
L,2,256,0
M,352,-217,0
N,96,337,0
O,61,256,1
P,12,137,1
Q,-150,-365,1
R,29,182,1
S,-282,292,0
T,44,60,1
U,3,-130,0
V,5,261,1
W,-202,181,0
X,-85,-208,1
Y,264,137,1
Z,-121,-218,1
AA,-8,-128,0
AB,-308,-182,0
AC,387,136,0
AD,-257,-212,1
AE,219,-189,0
AF,167,162,1
AG,-285,-204,1
AH,-296,-128,0
AI,144,-49,1
AJ,366,215,0
AK,129,-352,0
AL,317,-186,0
AM,-331,137,1
AN,-298,135,0
AO,284,8,1
AP,-208,-286,1
AQ,197,157,0
AR,351,296,0
AS,202,-115,1
AT,7,290,0
AU,-103,-278,1
AV,-105,242,0
AW,166,-184,0
AX,104,339,1
AY,-340,-337,1
AZ,334,186,1
BA,233,257,1
BB,-6,162,0
BC,-36,353,0
BD,-3,-195,0
BE,162,282,1
BF,-83,274,1
BG,189,193,1
BH,198,-379,0
BI,264,234,0
BJ,184,-163,1
BK,-140,-231,1
BL,254,106,0
BM,79,-169,0
BN,154,158,1
BO,81,-369,0
BP,-198,-155,0
BQ,173,168,0
BR,222,51,0
BS,-207,-122,1
BT,-37,-204,1
BU,229,-143,0
BV,312,-30,1
BW,-30,306,1
BX,39,44,0
BY,-288,229,0
BZ,111,-129,0
CA,377,-149,1
CB,-291,231,0
CC,141,43,0
CD,303,301,0
CE,11,-188,0
CF,312,-109,0
CG,-193,196,1
CH,-295,281,1
CI,164,42,0
CJ,390,-342,1
CK,-339,355,0
CL,365,296,0
CM,280,-118,0
CN,47,198,1
CO,322,-355,1
CP,261,382,0
CQ,362,-363,0
CR,229,-193,0
CS,-225,-306,0
CT,124,208,1
CU,-281,-360,0
CV,-4,-90,0
CW,56,289,1
CX,-169,-225,0
CY,-31,102,0
CZ,204,-117,0
DA,-37,-19,0
DB,336,-374,0
DC,285,-235,0
DD,-181,164,1
DE,-137,-389,0
DF,-293,232,0
DG,-348,-281,0
DH,368,98,0
DI,-338,93,1
DJ,78,-282,1
DK,163,-328,0
DL,-176,142,1
DM,319,230,0
DN,-125,96,1
DO,12,-27,0
DP,72,-168,1
DQ,207,-169,1
DR,180,3,0
DS,-125,-284,1
DT,-252,250,0
DU,-371,-59,0
DV,-353,195,1
DW,-207,-209,1
DX,73,137,0
DY,45,-9,0
DZ,-315,36,0
EA,-162,-46,0
EB,296,185,0
EC,-204,-62,0
ED,246,-62,0
EE,262,-188,0
EF,-332,-61,1
EG,170,-369,1
EH,180,-31,0
EI,-57,-266,1
EJ,-178,-115,0
EK,-253,324,1
EL,183,-371,0
EM,-251,237,1
EN,163,-130,0
EO,-34,-38,1
EP,20,-100,1
EQ,-196,40,0
ER,384,-384,1
ES,-16,143,0
ET,161,239,0
EU,95,-291,0
EV,303,255,0
EW,399,185,0
EX,-340,-393,1
EY,378,74,1
EZ,146,-283,1
FA,344,313,1
FB,-278,-116,0
FC,-25,191,0
FD,-225,-359,1
FE,167,-269,0
FF,-134,-197,0
FG,11,76,1
FH,-203,-243,0
FI,295,150,0
FJ,210,33,0
FK,-298,376,1
FL,185,-358,0
FM,175,195,1
FN,57,66,0
FO,-39,292,0
FP,-347,88,1
FQ,173,24,1
FR,127,25,1
FS,313,341,0
FT,-392,-144,0
FU,-148,-162,0
FV,243,113,1
FW,386,351,0
FX,306,-178,1
FY,-39,-275,0
FZ,63,-186,0
GA,-302,357,0
GB,69,-15,1
GC,232,-143,0
GD,118,-240,0
GE,11,-285,1
GF,59,-385,1
GG,384,-229,1
GH,101,48,1
GI,116,359,1
GJ,-344,-142,1
GK,109,-244,0
GL,-361,-213,1
GM,194,113,1
GN,287,-232,1
GO,-279,-248,1
GP,-218,-308,1
GQ,63,262,0
GR,141,66,0
GS,396,320,0
GT,-174,-184,1
GU,-77,-374,1
GV,156,-112,1
GW,194,-350,1
GX,-106,-39,1
GY,-155,-334,1
GZ,177,157,1
HA,7,282,0
HB,-158,63,0
HC,399,72,0
HD,87,-275,1
HE,360,326,0
HF,-276,-175,1
HG,-268,-333,0
HH,-248,-141,1
HI,231,-316,1
HJ,338,-116,1
HK,-154,222,1
HL,109,-6,0
HM,316,-107,1
HN,-394,-35,0
HO,51,217,1
HP,107,28,1
HQ,-261,249,1
HR,-91,219,0
HS,291,106,1
HT,67,-391,0
HU,293,-295,1
HV,-324,347,1
HW,-380,131,1
HX,-39,-308,0
HY,-217,-230,1
HZ,-303,-306,1
IA,-367,285,0
IB,133,69,0
IC,-251,-299,0
ID,103,139,1
IE,-351,389,1
IF,-180,247,0
IG,-55,-101,1
IH,235,-362,1
II,61,196,0
IJ,-338,110,0
IK,31,318,0
IL,-257,-99,0
IM,-226,-2,0
IN,-157,263,0
IO,95,-135,1
IP,93,178,0
IQ,110,-382,0
IR,-62,-117,0
IS,-227,342,0
IT,98,-193,0
IU,119,-16,1
IV,-373,-338,0
IW,376,360,0
IX,173,-61,0
IY,-100,294,1
IZ,358,-110,0
JA,-297,244,0
JB,352,101,0
JC,-184,56,1
JD,104,247,0
JE,-366,-386,1
JF,-337,-335,1
JG,-324,9,0
JH,157,-53,0
JI,-161,320,0
JJ,-144,-277,0
JK,108,-118,0
JL,277,299,1
JM,-284,-294,1
JN,-388,-13,1
JO,111,-216,0
JP,-106,143,0
JQ,396,336,0
JR,-15,-145,1
JS,345,43,0
JT,143,340,1
JU,235,102,0
JV,80,-97,0
JW,56,-192,1
JX,-394,-2,0
JY,-327,206,0
JZ,-58,-395,1
KA,-19,264,0
KB,52,131,0
KC,-270,363,1
KD,-193,239,0
KE,-66,-93,1
KF,-49,139,1
KG,192,87,0
KH,-102,-16,0
KI,-303,198,1
KJ,128,23,0
KK,365,-184,1
KL,378,-41,1
KM,168,369,0
KN,-90,36,0
KO,351,-185,0
KP,-127,-98,0
KQ,340,131,0
KR,-194,353,1
KS,10,17,0
KT,-177,24,1
KU,172,-383,1
KV,-175,-13,1
KW,98,144,1
KX,340,213,0
KY,189,163,1
KZ,365,-12,0
LA,24,281,0
LB,-57,-176,1
LC,151,-29,1
LD,-57,380,1
LE,-205,76,1
LF,147,-200,0
LG,312,101,1
LH,-89,-4,1
LI,-129,-310,0
LJ,106,396,1
LK,-139,85,0
LL,-21,-115,1
LM,-82,-158,0
LN,162,134,0
LO,254,-13,1
LP,178,-186,0
LQ,189,221,1
LR,-147,-294,1
LS,-90,282,1
LT,156,78,0
LU,-11,-230,1
LV,372,275,1
LW,337,-311,1
LX,-268,12,0
LY,363,-348,0
LZ,281,-266,0
MA,-153,-105,1
MB,-204,38,0
MC,340,-113,0
MD,317,321,1
ME,280,-264,1
MF,348,-333,0
MG,95,378,0
MH,-145,-110,1
MI,223,102,0
MJ,227,-352,1
MK,122,32,1
ML,258,-44,1
MM,-19,199,1
MN,256,2,1
MO,306,-5,0
MP,75,-336,0
MQ,-79,62,1
