4,1000,,
8,2,200000,7
0,0,,
A,-135,337,0
B,-95,365,1
C,118,221,1
D,217,322,0
E,137,-253,0
F,158,-279,1
G,206,299,1
H,-355,141,0
I,345,54,0
J,132,117,1
K,107,207,1
L,-320,157,1
M,-5,60,0
N,18,-334,1
O,305,136,1
P,52,-52,1
Q,-39,-136,0
R,-381,116,1
S,-276,362,0
T,-260,-52,1
U,-163,121,1
V,-84,304,1
W,-348,387,1
X,-191,-319,1
Y,40,-47,1
Z,-68,-376,1
AA,-256,-33,0
AB,20,192,0
AC,344,8,0
AD,-276,103,1
AE,38,51,0
AF,-181,217,0
AG,-216,-370,0
AH,60,136,0
AI,-121,109,0
AJ,70,184,1
AK,335,9,1
AL,160,-99,0
AM,316,-216,1
AN,-114,298,1
AO,-20,-122,0
AP,156,135,0
AQ,220,-56,0
AR,-123,-344,1
AS,-281,-223,0
AT,-145,393,0
AU,86,255,1
AV,-62,-126,1
AW,117,-222,1
AX,250,-289,1
AY,300,317,0
AZ,51,242,0
BA,109,91,1
BB,238,77,0
BC,269,25,1
BD,382,192,0
BE,-52,359,1
BF,-111,16,1
BG,138,32,1
BH,-332,-119,0
BI,263,-369,1
BJ,81,-210,0
BK,-387,313,0
BL,-45,162,1
BM,-288,-309,1
BN,-241,-386,0
BO,154,-235,0
BP,-17,25,1
BQ,-369,65,1
BR,153,-208,1
BS,83,-37,1
BT,-181,-118,1
BU,-332,-102,0
BV,82,275,1
BW,-356,342,0
BX,-184,-199,0
BY,-87,-1,0
BZ,-176,-22,0
CA,81,-221,1
CB,234,299,1
CC,-158,364,1
CD,-81,-349,1
CE,392,-128,1
CF,-44,-147,1
CG,-199,325,1
CH,115,395,1
CI,308,107,0
CJ,-233,-49,0
CK,-380,-62,1
CL,-89,-31,0
CM,-100,-51,1
CN,-346,-11,0
CO,39,226,1
CP,275,370,1
CQ,-365,331,0
CR,-179,25,0
CS,-151,-324,0
CT,-176,136,1
CU,344,-317,1
CV,20,-377,0
CW,59,-57,1
CX,-321,239,1
CY,-275,-23,1
CZ,90,376,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
