1,J,3
2,ZC,3
3,LZ,2
4,OJ,2
5,YF,2
6,RV,3
7,ZC,2
8,XH,1
9,QC,2
10,IZ,3
11,QC,3
12,CP,1
13,QV,2
14,RY,2
15,BH,2
16,GH,3
17,MY,2
18,NN,2
19,KF,2
20,BG,3
21,UF,3
22,MC,1
23,HC,3
24,FA,3
25,QD,2
26,PI,1
27,RU,2
28,EC,3
29,MT,1
30,TS,2
31,FO,2
32,TV,3
33,TR,2
34,ZE,1
35,VP,1
36,DD,2
37,DB,2
38,XM,2
39,MW,3
40,JY,3
41,BH,1
42,MR,1
43,WH,1
44,QJ,2
45,PW,1
46,OF,3
47,MP,1
48,DQ,1
49,ZO,3
50,TR,3
51,XH,1
52,QC,3
53,OQ,3
54,OU,1
55,AX,3
56,IC,3
57,OC,3
58,JK,1
59,QJ,1
60,GH,2
61,MC,3
62,EQ,2
63,KV,3
64,PU,1
65,WJ,3
66,RC,1
67,TK,1
68,XM,3
69,ZH,2
70,JO,1
71,ZV,3
72,XO,2
73,JP,2
74,RQ,1
75,BS,3
76,LG,3
77,PK,2
78,SG,3
79,PO,1
80,OK,3
81,AN,3
82,HX,2
83,NR,3
84,OW,1
85,CS,2
86,WU,2
87,AS,2
88,BC,3
89,BL,2
90,PO,2
91,CG,2
92,AA,2
93,WK,1
94,TA,2
95,SX,3
96,SY,2
97,OO,1
98,PE,2
99,KY,3
100,XC,3
101,ZT,2
102,ZS,3
103,BE,1
104,DS,2
105,XP,2
106,JS,2
107,GJ,3
108,YF,3
109,RA,1
110,SZ,3
111,YW,1
112,LA,1
113,EA,3
114,UM,2
115,GX,2
116,FF,3
117,QK,3
118,CY,1
119,RZ,2
120,NY,3
121,YZ,3
122,FF,3
123,TH,1
124,VY,2
125,MZ,1
126,RM,2
127,ZW,2
128,TJ,1
129,FX,2
130,HN,2
131,KE,1
132,WL,3
133,JH,2
134,HJ,1
135,PI,3
136,WF,1
137,UV,2
138,QZ,2
139,KT,1
140,ES,2
141,PH,3
142,UE,1
143,WV,2
144,AZ,2
145,IN,2
146,QC,1
147,VN,2
148,TL,2
149,FF,1
150,ON,2
151,QN,2
152,FQ,3
153,RN,2
154,SR,3
155,HH,2
156,CE,3
157,TC,1
158,QQ,1
159,PA,1
160,LP,2
161,WY,2
162,PM,1
163,BL,1
164,MN,1
165,YX,1
166,RR,2
167,HE,1
168,NO,1
169,IY,3
170,DR,3
171,SJ,2
172,WL,1
173,KJ,1
174,DV,3
175,QH,2
176,BW,2
177,FG,1
178,PA,2
179,KE,3
180,CS,1
181,TP,2
182,CP,1
183,NX,1
184,ED,3
185,KC,3
186,XV,3
187,UH,3
188,RE,3
189,DA,3
190,XV,2
191,ZO,1
192,GF,1
193,RD,2
194,UY,3
195,NV,3
196,MC,3
197,JZ,3
198,TK,2
199,CZ,2
200,MC,2
201,OM,3
202,CN,3
203,DU,1
204,AJ,3
205,QZ,1
206,CG,3
207,IG,2
208,EK,3
209,DM,1
210,PY,3
211,VP,1
212,KF,2
